content_id,url,file,status,high_risk,result,issues
blog-232,/blog/cat-anal-gland-guide,db/seeds/blog-posts-24.ts,published,true,PASS_OR_NOT_APPLICABLE,
cond-cat-dental-disease,/condition/cat-dental-disease,db/seeds/conditions-batch-1.ts,review_queue,true,PASS_OR_NOT_APPLICABLE,
blog-168,/blog/cat-flea-tick-prevention,db/seeds/blog-posts-17.ts,published,true,PASS_OR_NOT_APPLICABLE,
blog-166,/blog/cat-grooming-basics-guide,db/seeds/blog-posts-17.ts,published,false,PASS_OR_NOT_APPLICABLE,
cond-cat-kidney-disease-guide,/condition/cat-kidney-disease-guide,db/seeds/conditions-batch-1.ts,review_queue,true,PASS_OR_NOT_APPLICABLE,
blog-162,/blog/cat-summer-safety-guide,db/seeds/blog-posts-17.ts,published,true,PASS_OR_NOT_APPLICABLE,
cond-cat-urinary-tract-disease,/condition/cat-urinary-tract-disease,db/seeds/conditions-batch-1.ts,review_queue,true,PASS_OR_NOT_APPLICABLE,
cond-cat-vomiting-causes,/condition/cat-vomiting-causes,db/seeds/conditions-batch-1.ts,review_queue,true,PASS_OR_NOT_APPLICABLE,
blog-233,/blog/dog-anal-gland-express-guide,db/seeds/blog-posts-24.ts,published,true,PASS_OR_NOT_APPLICABLE,
blog-dog-bath-guide,/blog/dog-bath-guide,db/seeds/blog-posts.ts,published,true,PASS_OR_NOT_APPLICABLE,
blog-231,/blog/dog-dental-scaling-guide,db/seeds/blog-posts-24.ts,published,true,PASS_OR_NOT_APPLICABLE,
seed-condition-dog-disc-disease,/condition/dog-disc-disease,db/seeds/contents.ts,published,true,PASS_OR_NOT_APPLICABLE,
blog-163,/blog/dog-eye-care-guide,db/seeds/blog-posts-17.ts,published,true,PASS_OR_NOT_APPLICABLE,
blog-167,/blog/dog-flea-tick-guide,db/seeds/blog-posts-17.ts,published,true,PASS_OR_NOT_APPLICABLE,
cond-dog-heartworm-prevention,/condition/dog-heartworm-disease,db/seeds/conditions-batch-1.ts,review_queue,true,PASS_OR_NOT_APPLICABLE,
blog-170,/blog/dog-heartworm-treatment-guide,db/seeds/blog-posts-17.ts,published,true,PASS_OR_NOT_APPLICABLE,
cond-dog-joint-arthritis,/condition/dog-joint-arthritis,db/seeds/conditions-batch-1.ts,review_queue,true,PASS_OR_NOT_APPLICABLE,
cond-dog-obesity-management,/condition/dog-obesity-management,db/seeds/conditions-batch-1.ts,review_queue,true,PASS_OR_NOT_APPLICABLE,
condition-dog-patellar-luxation,/condition/dog-patellar-luxation,db/seeds/conditions-batch-2.ts,review_queue,true,PASS_OR_NOT_APPLICABLE,
cond-dog-patellar-luxation,/condition/dog-patellar-luxation-stages,db/seeds/conditions-batch-1.ts,review_queue,true,PASS_OR_NOT_APPLICABLE,
blog-161,/blog/dog-paw-care-guide,db/seeds/blog-posts-17.ts,published,true,PASS_OR_NOT_APPLICABLE,
cond-dog-separation-anxiety,/condition/dog-separation-anxiety-disorder,db/seeds/conditions-batch-1.ts,review_queue,true,PASS_OR_NOT_APPLICABLE,
cond-dog-skin-allergy-guide,/condition/dog-skin-allergy-guide,db/seeds/conditions-batch-1.ts,review_queue,true,PASS_OR_NOT_APPLICABLE,
blog-165,/blog/dog-skin-care-guide,db/seeds/blog-posts-17.ts,published,true,PASS_OR_NOT_APPLICABLE,
blog-198,/blog/dog-summer-paw-protection,db/seeds/blog-posts-20.ts,published,true,PASS_OR_NOT_APPLICABLE,
blog-213,/blog/online-vet-consultation-guide,db/seeds/blog-posts-22.ts,published,true,PASS_OR_NOT_APPLICABLE,
blog-197,/blog/pet-allergy-season-guide,db/seeds/blog-posts-20.ts,published,true,PASS_OR_NOT_APPLICABLE,
blog-164,/blog/pet-emergency-kit-guide,db/seeds/blog-posts-17.ts,published,true,PASS_OR_NOT_APPLICABLE,
blog-453,/blog/pet-emergency-vet-preparation,db/seeds/blog-posts-66.ts,published,true,PASS_OR_NOT_APPLICABLE,
seed-guide-pet-first-aid,/guide/pet-first-aid-guide,db/seeds/contents.ts,published,true,PASS_OR_NOT_APPLICABLE,
blog-155,/blog/pet-food-rotation-guide,db/seeds/blog-posts-16.ts,published,true,PASS_OR_NOT_APPLICABLE,
blog-234,/blog/pet-human-allergy-guide,db/seeds/blog-posts-24.ts,published,true,PASS_OR_NOT_APPLICABLE,
blog-pet-registration-guide,/blog/pet-registration-guide,db/seeds/blog-posts.ts,published,false,PASS_OR_NOT_APPLICABLE,
blog-200,/blog/pet-toxic-plants-cat-guide,db/seeds/blog-posts-20.ts,published,true,PASS_OR_NOT_APPLICABLE,
blog-199,/blog/pet-toxic-plants-dog-guide,db/seeds/blog-posts-20.ts,published,true,PASS_OR_NOT_APPLICABLE,
blog-169,/blog/pet-vet-visit-guide,db/seeds/blog-posts-17.ts,published,true,PASS_OR_NOT_APPLICABLE,
blog-puppy-first-week-guide,/blog/puppy-first-week-guide,db/seeds/blog-posts-5.ts,published,false,PASS_OR_NOT_APPLICABLE,
